zip_code,po_name,zcta,county_fips,county_name,state,pop,households,hh_income,average_age,minority_pct,educ_years,poor_households_pct,poor_family_households_pct,unemployment_rate,health_ins_pct,public_transp_to_work_pct,worked_from_home_pct,hh_rented_pct,rent_to_income_pct,hh_value_to_income,pop_under_10_pct,pop_under_25_pct,pop_25_to_34_pct,pop_35_to_44_pct,pop_45_to_54_pct,pop_55_to_64_pct,pop_65_to_74_pct,pop_75_to_84_pct,pop_85_over_pct,pop_65_over_pct,white_pct,black_pct,am_indian_pct,asian_pct,hawaiian_pct,other_race_pct,pop_under_5,pop_5_9,pop_10_14,pop_15_17,pop_18_19,pop_20,pop_21,pop_22_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_61,pop_62_64,pop_65_66,pop_67_69,pop_70_74,pop_75_79,pop_80_84,pop_85_over,pop_race,pop_white,pop_black,pop_am_indian,pop_asian,pop_hawaiian,pop_other_race,hh_under_10k,hh_10k_15k,hh_15k_20k,hh_20k_25k,hh_25k_30k,hh_30k_35k,hh_35k_40k,hh_40k_45k,hh_45k_50k,hh_50k_60k,hh_60k_75k,hh_75k_100k,hh_100k_125k,hh_125k_150k,hh_150k_200k,hh_over_200k,hh_pov_count,hh_in_poverty,family_hh_in_poverty,nonfamily_hh_in_poverty,pop_educ,educ_none,educ_pre_k,educ_k,educ_1st,educ_2nd,educ_3rd,educ_4th,educ_5th,educ_6th,educ_7th,educ_8th,educ_9th,educ_10th,educ_11th,educ_12th,educ_hs,educ_ged,educ_col_1y,educ_col_2y,educ_assoc,educ_ba_bs,educ_ma_ms,educ_prof,educ_phd,pop_employ,labor_force,civ_labor_force,employed,unemployed,armed_forces,not_in_labor_force,pop_hins,hins_6_under,hins_6_to_18,hins_19_to_25,hins_26_to_34,hins_35_to_44,hins_45_to_54,hins_55_to_64,hins_65_to_74,hins_75_over,pop_transp,transp_car_to_work,transp_public_to_work,transp_bicycle_to_work,transp_motorcycle_to_work,transp_other_to_work,transp_taxi_to_work,transp_walked_to_work,transp_worked_from_home,hh_ownership,hh_owner_occupied,hh_rented,hh_ratio,hh_ratio_10_or_less,hh_ratio_10_15,hh_ratio_15_20,hh_ratio_20_25,hh_ratio_25_30,hh_ratio_30_35,hh_ratio_35_40,hh_ratio_40_50,hh_ratio_50_or_more,hh_ratio_na,hh_value_to_income_count,hh_value_to_income_2_or_less,hh_value_to_income_2_to_3,hh_value_to_income_3_to_4,hh_value_to_income_4_or_more,hh_value_to_income_na,resume_row_identifier
10451,Bronx,10451,36005,Bronx County,NY,50118.0,20434.0,51.2036312,36.20587414,0.846641925,12.12729223,0.336400117,0.185083684,0.096008728,0.938313243,0.625870282,0.034811286,0.859449936,0.344370773,2.384212365,0.13420328,0.339538689,0.173410751,0.134462668,0.124825412,0.102657728,0.061195578,0.042499701,0.021409474,0.125104753,0.153358075,0.435292709,0.00315256,0.012191229,0.005906062,0.390099365,3499.0,3227.0,3379.0,1893.0,1484.0,896.0,685.0,1954.0,4474.0,4217.0,3177.0,3562.0,3319.0,2937.0,2808.0,1001.0,1336.0,646.0,1202.0,1219.0,1157.0,973.0,1073.0,50118.0,7686.0,21816.0,158.0,611.0,296.0,19551.0,3467.0,2289.0,1640.0,1001.0,1154.0,831.0,926.0,1169.0,545.0,1219.0,1693.0,1598.0,916.0,644.0,607.0,735.0,20434.0,6874.0,3782.0,3092.0,33101.0,1501.0,0.0,53.0,40.0,34.0,164.0,217.0,322.0,494.0,464.0,1021.0,842.0,1292.0,1522.0,1440.0,6864.0,1525.0,1417.0,4899.0,2693.0,4383.0,1514.0,273.0,127.0,39501.0,21998.0,21998.0,19886.0,2112.0,0.0,17503.0,50108.0,4093.0,8583.0,5289.0,5932.0,6226.0,5769.0,4884.0,3067.0,3174.0,19103.0,3693.0,11956.0,33.0,0.0,218.0,471.0,2067.0,665.0,20434.0,2872.0,17562.0,17562.0,936.0,992.0,1518.0,1784.0,1438.0,1938.0,995.0,1645.0,5759.0,557.0,2872.0,1598.0,328.0,278.0,659.0,9.0,3349
10452,Bronx,10452,36005,Bronx County,NY,79838.0,27940.0,45.17868647,34.14506876,0.853077482,11.56365293,0.358876163,0.206048676,0.131591516,0.926994566,0.714989421,0.048697435,0.972834646,0.358554073,2.868906456,0.147298279,0.381434906,0.157218367,0.135211303,0.119780055,0.110724217,0.054460282,0.028595406,0.012575465,0.095631153,0.146922518,0.337558556,0.004058218,0.013101531,0.004571758,0.49378742,5480.0,6280.0,7099.0,3714.0,2515.0,1190.0,879.0,3296.0,6325.0,6227.0,5548.0,5247.0,4109.0,5454.0,5490.0,1511.0,1839.0,905.0,1021.0,2422.0,1708.0,575.0,1004.0,79838.0,11730.0,26950.0,324.0,1046.0,365.0,39423.0,4009.0,2990.0,2349.0,1390.0,1659.0,1909.0,1667.0,1578.0,1440.0,1874.0,2236.0,2372.0,1105.0,582.0,487.0,293.0,27940.0,10027.0,5757.0,4270.0,49385.0,3217.0,58.0,0.0,0.0,252.0,341.0,472.0,157.0,1052.0,515.0,2147.0,1429.0,1380.0,2189.0,2448.0,10389.0,3391.0,2292.0,5860.0,4534.0,5318.0,1402.0,350.0,192.0,59554.0,35624.0,35595.0,30911.0,4684.0,29.0,23930.0,79679.0,6510.0,16802.0,6581.0,10094.0,9622.0,8616.0,8212.0,4243.0,3182.0,30248.0,3993.0,21627.0,168.0,0.0,197.0,497.0,2293.0,1473.0,27940.0,759.0,27181.0,27181.0,786.0,1612.0,2247.0,2664.0,2092.0,2208.0,2055.0,2882.0,9465.0,1170.0,759.0,279.0,85.0,67.0,328.0,0.0,3350
10453,Bronx,10453,36005,Bronx County,NY,80393.0,27864.0,48.19354723,34.24279477,0.887515082,11.47279295,0.342161929,0.199755958,0.147339411,0.903451114,0.623178745,0.08018284,0.950294287,0.352895363,3.332610268,0.152202306,0.371587078,0.156854453,0.133805182,0.130969114,0.116938042,0.058674263,0.023969749,0.00720212,0.089846131,0.112484918,0.323025637,0.009590387,0.019728086,0.003221674,0.531949299,5911.0,6325.0,6011.0,3536.0,2085.0,1481.0,1604.0,2920.0,6717.0,5893.0,6058.0,4699.0,5152.0,5377.0,5135.0,1727.0,2539.0,1189.0,1544.0,1984.0,1283.0,644.0,579.0,80393.0,9043.0,25969.0,771.0,1586.0,259.0,42765.0,4643.0,2923.0,2114.0,1772.0,1362.0,1159.0,1274.0,1428.0,1226.0,1854.0,2234.0,2425.0,1688.0,671.0,830.0,261.0,27864.0,9534.0,5566.0,3968.0,50520.0,2843.0,14.0,31.0,52.0,172.0,611.0,467.0,549.0,1582.0,655.0,1346.0,1594.0,2083.0,2292.0,1835.0,12033.0,2801.0,3083.0,5348.0,3664.0,5615.0,1578.0,153.0,119.0,61164.0,37914.0,37736.0,32176.0,5560.0,178.0,23250.0,80177.0,7241.0,14921.0,7297.0,9391.0,8990.0,9138.0,8705.0,4388.0,2365.0,31503.0,6393.0,19632.0,149.0,0.0,107.0,514.0,2182.0,2526.0,27864.0,1385.0,26479.0,26479.0,715.0,1854.0,2123.0,1908.0,2864.0,2531.0,1650.0,2403.0,8733.0,1698.0,1385.0,229.0,196.0,113.0,845.0,2.0,3351
10454,Bronx,10454,36005,Bronx County,NY,38908.0,14259.0,39.27221404,34.02804051,0.843502622,11.07593206,0.459218739,0.23879655,0.113895832,0.898604819,0.646897739,0.049839606,0.953923838,0.35452185,3.777777778,0.160455433,0.379562044,0.165544361,0.131900894,0.11599157,0.10481135,0.058419862,0.030764881,0.013005038,0.102189781,0.156497378,0.322093143,0.007350673,0.001696309,0.001259381,0.511103115,3101.0,3142.0,3452.0,1460.0,863.0,429.0,412.0,1909.0,3186.0,3255.0,2689.0,2443.0,2290.0,2223.0,2043.0,672.0,1363.0,811.0,473.0,989.0,715.0,482.0,506.0,38908.0,6089.0,12532.0,286.0,66.0,49.0,19886.0,3113.0,2471.0,966.0,1107.0,632.0,693.0,658.0,607.0,498.0,803.0,645.0,724.0,633.0,271.0,146.0,292.0,14259.0,6548.0,3405.0,3143.0,24140.0,1432.0,0.0,0.0,22.0,133.0,278.0,288.0,379.0,856.0,355.0,917.0,1062.0,691.0,1532.0,1264.0,5753.0,1398.0,803.0,2719.0,1318.0,2265.0,598.0,50.0,27.0,28665.0,14822.0,14803.0,13117.0,1686.0,19.0,13843.0,38848.0,3540.0,7877.0,3211.0,4441.0,4418.0,3665.0,3781.0,2273.0,1703.0,12781.0,1779.0,8268.0,56.0,0.0,355.0,146.0,1540.0,637.0,14259.0,657.0,13602.0,13602.0,672.0,715.0,985.0,1054.0,1180.0,1425.0,1090.0,1186.0,4691.0,604.0,657.0,19.0,41.0,74.0,523.0,0.0,3352
10455,Bronx,10455,36005,Bronx County,NY,42781.0,15673.0,44.17357877,33.50244267,0.857460087,11.55631932,0.353410323,0.206278313,0.129471795,0.908924935,0.644281915,0.076662234,0.909015504,0.355574386,3.085203366,0.154905215,0.393001566,0.16175405,0.130431734,0.119398799,0.104111638,0.058320282,0.024730605,0.008251327,0.091302214,0.142539913,0.32505084,0.009396695,0.013721044,0.0,0.509291508,2899.0,3728.0,3524.0,2032.0,1532.0,420.0,883.0,1795.0,3392.0,3528.0,2528.0,3052.0,2264.0,2844.0,2510.0,937.0,1007.0,450.0,1036.0,1009.0,791.0,267.0,353.0,42781.0,6098.0,13906.0,402.0,587.0,0.0,21788.0,2399.0,2212.0,1255.0,857.0,811.0,1358.0,633.0,734.0,792.0,671.0,907.0,1625.0,480.0,539.0,211.0,189.0,15673.0,5539.0,3233.0,2306.0,25968.0,1319.0,36.0,31.0,205.0,73.0,165.0,210.0,318.0,678.0,131.0,745.0,912.0,915.0,1478.0,1482.0,5716.0,1512.0,1426.0,2693.0,2151.0,2752.0,922.0,89.0,9.0,32182.0,17834.0,17834.0,15525.0,2309.0,0.0,14348.0,42723.0,3954.0,8364.0,4033.0,5027.0,4967.0,4563.0,4063.0,2450.0,1411.0,15040.0,2552.0,9690.0,108.0,0.0,173.0,102.0,1262.0,1153.0,15673.0,1426.0,14247.0,14247.0,652.0,844.0,1277.0,1011.0,1239.0,1118.0,1184.0,1120.0,5274.0,528.0,1426.0,411.0,141.0,131.0,743.0,0.0,3353
10456,Bronx,10456,36005,Bronx County,NY,90314.0,31718.0,43.2174948,34.17475142,0.877261554,11.34355282,0.387823949,0.213979444,0.146637722,0.908368276,0.620215161,0.028396297,0.943628224,0.352160623,3.207563025,0.145935292,0.384048985,0.154593972,0.130677414,0.12159798,0.108953208,0.067542131,0.02540027,0.00718604,0.100128441,0.122738446,0.480922116,0.011083553,0.007064243,0.001439422,0.37675222,6828.0,6352.0,7408.0,4066.0,2883.0,1227.0,1066.0,4855.0,7053.0,6909.0,6499.0,5303.0,5395.0,5587.0,5298.0,1859.0,2683.0,1469.0,1970.0,2661.0,1459.0,835.0,649.0,90314.0,11085.0,43434.0,1001.0,638.0,130.0,34026.0,5446.0,4238.0,2005.0,2033.0,1781.0,1917.0,1870.0,1499.0,1462.0,1929.0,2420.0,2330.0,1130.0,724.0,609.0,325.0,31718.0,12301.0,6787.0,5514.0,55629.0,3555.0,28.0,9.0,18.0,96.0,529.0,470.0,572.0,1267.0,486.0,2019.0,2038.0,2004.0,3216.0,2713.0,12904.0,3313.0,2973.0,6628.0,4437.0,4706.0,1382.0,232.0,34.0,68321.0,38725.0,38694.0,33020.0,5674.0,31.0,29596.0,89194.0,7450.0,18044.0,8869.0,10188.0,9839.0,9497.0,8983.0,5600.0,2551.0,31976.0,6623.0,19832.0,192.0,9.0,325.0,439.0,3648.0,908.0,31718.0,1788.0,29930.0,29930.0,1153.0,1954.0,2061.0,2587.0,2632.0,3708.0,1930.0,2337.0,10264.0,1304.0,1788.0,414.0,204.0,147.0,1020.0,3.0,3354
10457,Bronx,10457,36005,Bronx County,NY,79443.0,25682.0,50.46365158,32.65305943,0.822262503,11.7292483,0.335098513,0.182968616,0.130727527,0.908271266,0.652651982,0.048105727,0.939257067,0.353252756,2.857898215,0.173759803,0.405699684,0.16304772,0.125889002,0.110934884,0.103747341,0.057059779,0.027227068,0.006394522,0.090681369,0.177737497,0.453457196,0.009654721,0.006268645,0.001145475,0.351736465,7306.0,6498.0,7157.0,3346.0,1714.0,1283.0,1150.0,3776.0,6636.0,6317.0,5286.0,4715.0,4595.0,4218.0,4656.0,1557.0,2029.0,1268.0,1565.0,1700.0,1353.0,810.0,508.0,79443.0,14120.0,36024.0,767.0,498.0,91.0,27943.0,3905.0,2868.0,1794.0,1519.0,1189.0,1142.0,837.0,1340.0,1113.0,1991.0,2348.0,2302.0,1417.0,698.0,824.0,395.0,25682.0,8606.0,4699.0,3907.0,47213.0,2290.0,0.0,34.0,111.0,127.0,508.0,465.0,479.0,1044.0,362.0,1327.0,1587.0,1758.0,2097.0,2457.0,10362.0,3085.0,2340.0,6274.0,3349.0,5017.0,1569.0,444.0,127.0,57393.0,34338.0,34308.0,29823.0,4485.0,30.0,23055.0,79081.0,8390.0,16252.0,7326.0,9633.0,8533.0,7584.0,7195.0,4410.0,2504.0,28375.0,6177.0,18519.0,12.0,38.0,329.0,239.0,1696.0,1365.0,25682.0,1560.0,24122.0,24122.0,983.0,1236.0,2099.0,2411.0,2307.0,1967.0,1154.0,2455.0,8430.0,1080.0,1560.0,478.0,316.0,118.0,601.0,47.0,3355
10458,Bronx,10458,36005,Bronx County,NY,86757.0,29090.0,50.83044001,32.60582431,0.874615305,11.59768147,0.311790993,0.177002406,0.14782693,0.899266216,0.652524649,0.06829997,0.965864558,0.351427458,3.278449144,0.156759685,0.414364259,0.166003896,0.116636122,0.127321138,0.088915016,0.052860288,0.025680925,0.008218357,0.08675957,0.125384695,0.179662736,0.011975979,0.033472803,0.000219003,0.649284784,6834.0,6766.0,6246.0,3440.0,4391.0,2060.0,1736.0,4476.0,7842.0,6560.0,5405.0,4714.0,6222.0,4824.0,4415.0,1262.0,2037.0,1166.0,1214.0,2206.0,1438.0,790.0,713.0,86757.0,10878.0,15587.0,1039.0,2904.0,19.0,56330.0,3544.0,3613.0,1533.0,1587.0,1324.0,1622.0,1633.0,1021.0,1335.0,2679.0,2747.0,3091.0,1463.0,688.0,905.0,305.0,29090.0,9070.0,5149.0,3921.0,50808.0,2328.0,10.0,20.0,101.0,189.0,484.0,255.0,742.0,1946.0,478.0,2537.0,1393.0,1663.0,2260.0,1930.0,11924.0,2215.0,2291.0,7874.0,2992.0,4846.0,1833.0,353.0,144.0,65838.0,41330.0,41278.0,35176.0,6102.0,52.0,24508.0,86674.0,8062.0,16777.0,10746.0,10439.0,7983.0,9610.0,6992.0,4452.0,2882.0,33470.0,5371.0,21840.0,262.0,23.0,74.0,400.0,3214.0,2286.0,29090.0,993.0,28097.0,28097.0,713.0,1998.0,2335.0,2012.0,3022.0,3152.0,2039.0,2665.0,9000.0,1161.0,993.0,218.0,86.0,85.0,604.0,0.0,3356
10459,Bronx,10459,36005,Bronx County,NY,51303.0,17453.0,51.65874062,35.02956942,0.879851081,11.20994705,0.293473901,0.163467599,0.118264029,0.916914411,0.565727017,0.057735155,0.878187131,0.345656496,3.331417625,0.139582481,0.366859638,0.158314329,0.131551761,0.122098123,0.116367464,0.06362201,0.029744849,0.011441826,0.104808686,0.120148919,0.348478646,0.00536031,0.003079742,0.000682221,0.522250161,3573.0,3588.0,3934.0,2391.0,1596.0,812.0,640.0,2287.0,4449.0,3673.0,3632.0,3117.0,2598.0,3666.0,3079.0,1360.0,1531.0,592.0,1159.0,1513.0,1020.0,506.0,587.0,51303.0,6164.0,17878.0,275.0,158.0,35.0,26793.0,2205.0,1725.0,1338.0,1288.0,1068.0,809.0,896.0,674.0,707.0,1528.0,1271.0,1655.0,818.0,521.0,464.0,486.0,17453.0,5122.0,2853.0,2269.0,32482.0,2488.0,9.0,0.0,48.0,362.0,269.0,281.0,257.0,933.0,500.0,1096.0,1296.0,895.0,1350.0,1005.0,6936.0,2109.0,1300.0,3783.0,2952.0,3419.0,1036.0,140.0,18.0,39541.0,24239.0,24217.0,21353.0,2864.0,22.0,15302.0,51128.0,4512.0,9389.0,4776.0,5815.0,5872.0,5773.0,5564.0,3164.0,2015.0,20646.0,5111.0,11680.0,143.0,0.0,89.0,272.0,2159.0,1192.0,17453.0,2126.0,15327.0,15327.0,766.0,1106.0,1012.0,1574.0,1329.0,1391.0,958.0,1354.0,5095.0,742.0,2126.0,340.0,247.0,351.0,1150.0,38.0,3357
10460,Bronx,10460,36005,Bronx County,NY,59979.0,21480.0,48.67248603,35.65516264,0.841061038,11.52585383,0.361824953,0.197579143,0.144120477,0.926773532,0.627893388,0.062115151,0.89255121,0.355366463,3.21382149,0.132179596,0.354157288,0.165541273,0.128494973,0.119841945,0.111305624,0.077643842,0.029160206,0.013854849,0.120658897,0.158938962,0.341969689,0.006352223,0.013788159,0.00206739,0.476883576,3891.0,4037.0,4581.0,2828.0,1434.0,924.0,740.0,2807.0,5229.0,4700.0,3868.0,3839.0,3143.0,4045.0,3614.0,1384.0,1678.0,1504.0,1863.0,1290.0,1079.0,670.0,831.0,59979.0,9533.0,20511.0,381.0,827.0,124.0,28603.0,3177.0,2652.0,1671.0,1769.0,1166.0,975.0,1269.0,815.0,556.0,1058.0,1583.0,1997.0,1103.0,732.0,525.0,432.0,21480.0,7772.0,4244.0,3528.0,38737.0,2166.0,0.0,0.0,257.0,35.0,140.0,442.0,406.0,1109.0,374.0,1288.0,1145.0,1268.0,1556.0,1918.0,9021.0,2385.0,2126.0,4882.0,2847.0,4158.0,1057.0,77.0,80.0,46683.0,27026.0,27026.0,23131.0,3895.0,0.0,19657.0,59951.0,4568.0,11133.0,5546.0,7779.0,6575.0,6618.0,6140.0,4622.0,2580.0,22249.0,5315.0,13970.0,163.0,30.0,120.0,194.0,1075.0,1382.0,21480.0,2308.0,19172.0,19172.0,724.0,1214.0,1784.0,1763.0,1492.0,1581.0,761.0,1586.0,7296.0,971.0,2308.0,494.0,312.0,223.0,1279.0,0.0,3358
10461,Bronx,10461,36005,Bronx County,NY,52756.0,19084.0,75.66495494,39.40823793,0.548373645,12.85816626,0.161758541,0.085254664,0.084757506,0.93967862,0.449368184,0.047645837,0.662911339,0.338439355,3.453796164,0.117370536,0.284270983,0.162445978,0.130620214,0.136818561,0.119645159,0.092596103,0.048885435,0.024717568,0.166199105,0.451626355,0.096633558,0.006918644,0.113333081,0.000663432,0.33082493,2918.0,3274.0,3598.0,1640.0,713.0,507.0,957.0,1390.0,4345.0,4225.0,3610.0,3281.0,3923.0,3295.0,3225.0,1615.0,1472.0,1430.0,1490.0,1965.0,1584.0,995.0,1304.0,52756.0,23826.0,5098.0,365.0,5979.0,35.0,17453.0,1209.0,1037.0,1116.0,579.0,754.0,905.0,853.0,764.0,706.0,1489.0,1761.0,2471.0,1805.0,1167.0,1201.0,1267.0,19084.0,3087.0,1627.0,1460.0,37759.0,1356.0,0.0,7.0,129.0,47.0,163.0,108.0,610.0,595.0,172.0,580.0,494.0,895.0,791.0,1309.0,8579.0,1456.0,1987.0,4273.0,4054.0,6411.0,2709.0,372.0,662.0,42371.0,26008.0,25980.0,23778.0,2202.0,28.0,16363.0,51839.0,3529.0,7928.0,3849.0,6696.0,6298.0,6482.0,5905.0,4623.0,3402.0,23108.0,9250.0,10384.0,109.0,14.0,179.0,265.0,1806.0,1101.0,19084.0,6433.0,12651.0,12651.0,323.0,1089.0,1432.0,1268.0,988.0,1079.0,726.0,1261.0,3797.0,688.0,6433.0,798.0,592.0,1126.0,3793.0,124.0,3359
